Rk,Year,Player,Pos,AV,School,College,Height,Wt,40yd,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (Tm / Rd/ Yr),Year
1,2000,Shane Lechler,P,69,Texas A&M,College Stats,6-2,234,null,null,null,null,null,null,Oakland Raiders / 5th / 142nd pick / 2000,2000
2,2000,John Baker,P,4,North Texas,College Stats,6-3,227,null,null,null,null,null,null,null,2000
3,2000,Jeff Walker,P,null,Mississippi State,null,5-10,218,null,null,null,null,null,null,null,2000
4,2000,Andrew Bayes,P,null,East Carolina,null,6-2,200,null,null,null,null,null,null,null,2000
5,2000,Deone Horinek,P,null,Colorado State,null,6-2,234,null,null,null,null,null,null,null,2000
6,2000,Jimmy Kibble,P,null,Virginia Tech,null,5-10,195,null,null,null,null,null,null,null,2000
1,2001,Kevin Stemke,P,1,Wisconsin,College Stats,6-2,187,null,null,null,null,null,null,null,2001
2,2001,David Leaverton,P,null,Tennessee,College Stats,6-3,211,null,null,null,null,null,null,Jacksonville Jaguars / 5th / 142nd pick / 2001,2001
3,2001,Nick Harris,P,23,California,College Stats,6-2,221,null,null,null,null,null,null,Denver Broncos / 4th / 120th pick / 2001,2001
4,2001,Jason Baker,P,20,Iowa,College Stats,6-1,198,null,null,null,null,null,null,null,2001
5,2001,Matt Allen,P,1,Troy,null,6-3,246,null,null,null,null,null,null,null,2001
1,2002,Dave Zastudil,P,22,Ohio,College Stats,6-3,222,5.26,null,null,null,null,null,Baltimore Ravens / 4th / 112th pick / 2002,2002
2,2002,Nick Murphy,P,1,Arizona State,College Stats,6-0,188,4.74,null,null,null,null,null,null,2002
3,2002,Travis Dorsch,P,0,Purdue,College Stats,6-6,221,4.89,null,null,null,null,null,Cincinnati Bengals / 4th / 109th pick / 2002,2002
4,2002,Adam Wulfeck,P,null,Cincinnati,College Stats,6-0,228,4.83,null,null,null,null,null,null,2002
5,2002,Jeff Webb,P,null,Vanderbilt,null,6-3,215,null,null,null,null,null,null,null,2002
6,2002,Casey Roussel,P,null,Tulsa,College Stats,6-1,219,5.20,null,null,null,null,null,null,2002
7,2002,Mike Abrams,P,null,Virginia,College Stats,6-4,227,null,null,null,null,null,null,null,2002
8,2002,Jeff Ferguson,P,null,Oklahoma,College Stats,5-10,201,4.80,null,null,null,null,null,null,2002
1,2003,Mike Scifres,P,30,Western Illinois,null,6-2,236,4.91,null,null,null,null,null,San Diego Chargers / 5th / 149th pick / 2003,2003
2,2003,Glenn Pakulak,P,1,Kentucky,College Stats,6-2,226,4.96,null,null,null,null,null,null,2003
3,2003,Mat McBriar,P,22,Hawaii,College Stats,6-0,213,5.07,null,null,null,null,null,null,2003
4,2003,Eddie Johnson,P,1,Idaho State,null,6-3,232,5.17,null,null,null,null,null,Minnesota Vikings / 6th / 180th pick / 2003,2003
5,2003,Andy Groom,P,0,Ohio State,College Stats,6-0,196,4.63,null,null,null,null,null,null,2003
6,2003,Fred Capshaw,P,null,Miami (FL),null,5-10,192,4.89,null,null,null,null,null,null,2003
7,2003,Damon Duval,P,null,Auburn,College Stats,6-0,196,4.90,null,null,null,null,null,null,2003
8,2003,Nate Fikse,P,null,UCLA,College Stats,5-8,196,4.91,null,null,null,null,null,null,2003
9,2003,Joey Huber,P,null,Colorado State,College Stats,6-6,246,4.96,null,null,null,null,null,null,2003
10,2003,Mark Mariscal,P,null,Colorado,College Stats,6-2,201,4.90,null,null,null,null,null,null,2003
1,2004,B.J. Sander,P,1,Ohio State,College Stats,6-4,219,4.84,null,null,null,null,null,Green Bay Packers / 3rd / 87th pick / 2004,2004
2,2004,Andy Lee,P,41,Pittsburgh,College Stats,6-1,207,5.00,null,null,null,null,null,San Francisco 49ers / 6th / 188th pick / 2004,2004
3,2004,Kyle Larson,P,9,Nebraska,College Stats,6-1,204,4.86,null,null,null,null,null,null,2004
4,2004,Donnie Jones,P,35,LSU,College Stats,6-3,222,4.88,null,null,null,null,null,Seattle Seahawks / 7th / 224th pick / 2004,2004
1,2005,Reggie Hodges,P,5,Ball State,College Stats,6-0,226,4.88,null,null,null,null,null,St. Louis Rams / 6th / 210th pick / 2005,2005
2,2005,Dustin Colquitt,P,30,Tennessee,College Stats,6-2,211,4.88,null,null,null,null,null,Kansas City Chiefs / 3rd / 99th pick / 2005,2005
3,2005,Bryce Benekos,P,null,Texas-El Paso,College Stats,6-5,227,5.10,null,null,null,null,null,null,2005
