,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,Year
1,1,CLE,Tim Couch,QB,22,2003,0,0,4,30,30,62,1025,1714,11131,64,67,124,556,2,2,-13,0,1,,,Kentucky,1999
1,2,PHI,Donovan McNabb,QB,22,2011,0,6,11,107,101,167,3170,5374,37276,234,117,616,3459,29,5,-7,0,13,,,Syracuse,1999
1,3,CIN,Akili Smith,QB,24,2002,0,0,1,1,1,22,215,461,2212,5,13,70,371,1,1,6,0,,,,Oregon,1999
1,4,IND,Edgerrin James,RB,21,2009,1,4,8,114,99,148,0,0,0,0,0,3028,12246,80,433,3364,11,10,,,Miami (FL),1999
1,5,NOR,Ricky Williams,RB,22,2011,1,1,5,76,26,147,1,3,34,0,1,2431,10009,66,342,2606,8,17,,,Texas,1999
1,6,STL,Torry Holt,WR,23,2009,1,7,11,99,96,173,0,0,0,0,0,11,57,0,920,13382,74,19,,,North Carolina St.,1999
1,7,WAS,Champ Bailey,DB,21,2013,3,12,14,111,38,215,0,0,0,0,0,2,11,1,4,89,0,812,52,3,Georgia,1999
1,8,ARI,David Boston,WR,21,2005,1,1,5,37,28,75,0,0,0,0,0,18,91,0,315,4699,25,4,,,Ohio St.,1999
1,9,DET,Chris Claiborne,LB,21,2006,0,0,6,36,26,105,0,0,0,0,0,0,0,0,0,0,0,397,8,15,USC,1999
1,10,BAL,Chris McAlister,DB,22,2009,1,3,8,70,70,137,0,0,0,0,0,0,0,0,0,0,0,385,26,,Arizona,1999
1,11,MIN,Daunte Culpepper,QB,22,2009,0,3,5,86,81,105,2016,3199,24153,149,106,514,2652,34,1,0,0,10,,,Central Florida,1999
1,12,CHI,Cade McNown,QB,22,2000,0,0,0,7,7,25,281,515,3111,16,19,82,486,3,0,0,0,,,,UCLA,1999
1,13,PIT,Troy Edwards,WR,22,2005,0,0,1,19,11,92,0,0,0,0,0,16,46,1,203,2404,11,6,,,Louisiana Tech,1999
1,14,KAN,John Tait,T,24,2008,0,0,8,50,29,148,0,0,0,0,0,1,28,0,0,0,0,1,,,BYU,1999
1,15,TAM,Anthony McFarland,DT,21,2006,0,0,4,41,37,109,0,0,0,0,0,0,0,0,0,0,0,170,1,22.5,LSU,1999
1,16,TEN,Jevon Kearse,DE,23,2009,1,3,8,69,52,133,0,0,0,0,0,0,0,0,0,0,0,241,1,74,Florida,1999
1,17,NWE,Damien Woody,C,21,2010,0,1,10,58,34,173,0,0,0,0,0,0,0,0,0,0,0,1,,,Boston Col.,1999
1,18,OAK,Matt Stinchcomb,G,22,2004,0,0,1,19,13,65,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,1999
1,19,NYG,Luke Petitgout,T,23,2007,0,0,8,47,46,117,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,1999
1,20,DAL,Ebenezer Ekuban,DE,23,2008,0,0,5,38,19,122,0,0,0,0,0,0,0,0,0,0,0,211,,36.5,North Carolina,1999
1,21,ARI,L.J. Shelton,T,23,2008,0,0,8,44,23,146,0,0,0,0,0,0,0,0,0,0,0,,,,East. Michigan,1999
1,22,SEA,Lamar King,DE,24,2003,0,0,2,16,16,57,0,0,0,0,0,0,0,0,0,0,0,94,,12,Saginaw Valley St.,1999
1,23,BUF,Antoine Winfield,DB,22,2012,0,3,11,63,16,191,0,0,0,0,0,0,0,0,0,0,0,901,27,7.5,Ohio St.,1999
1,24,SFO,Reggie McGrew,DT,22,2002,0,0,0,1,1,24,0,0,0,0,0,0,0,0,0,0,0,9,,1,Florida,1999
1,25,GNB,Antuan Edwards,DB,22,2005,0,0,2,16,11,71,0,0,0,0,0,0,0,0,0,0,0,181,7,3,Clemson,1999
1,26,JAX,Fernando Bryant,DB,22,2008,0,0,8,37,27,112,0,0,0,0,0,0,0,0,0,0,0,419,7,,Alabama,1999
1,27,DET,Aaron Gibson,T,21,2004,0,0,1,12,6,38,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,1999
1,28,NWE,Andy Katzenmoyer,LB,21,2000,0,0,1,9,9,24,0,0,0,0,0,0,0,0,0,0,0,77,1,3.5,Ohio St.,1999
1,29,MIN,Dimitrius Underwood,DT,22,2001,0,0,0,1,,19,0,0,0,0,0,0,0,0,0,0,0,15,,4,Michigan St.,1999
