Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,Year
1,1,LAR,Jared Goff,QB,21,2018,0,1,2,13,13,24,450,747,5480,36,15,39,68,2,0,0,0,,,,California,2016
1,2,PHI,Carson Wentz,QB,23,2018,0,1,2,24,24,29,644,1047,7078,49,21,110,449,2,1,7,0,,,,North Dakota St.,2016
1,3,SDG,Joey Bosa,DE,21,2017,0,1,2,19,19,28,0,0,0,0,0,0,0,0,0,0,0,83,,23,Ohio St.,2016
1,4,DAL,Ezekiel Elliott,RB,21,2018,1,1,3,25,25,27,0,0,0,0,0,596,2761,24,66,658,3,,,,Ohio St.,2016
1,5,JAX,Jalen Ramsey,CB,21,2018,1,1,3,22,22,34,0,0,0,0,0,0,0,0,0,0,0,114,6,,Florida St.,2016
1,6,BAL,Ronnie Stanley,T,22,2018,0,0,3,14,14,29,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,2016
1,7,SFO,DeForest Buckner,DE,22,2018,0,0,3,14,14,33,0,0,0,0,0,0,0,0,0,0,0,96,,12.5,Oregon,2016
1,8,TEN,Jack Conklin,T,22,2017,1,0,2,22,22,32,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan St.,2016
1,9,CHI,Leonard Floyd,OLB,23,2018,0,0,3,12,12,24,0,0,0,0,0,0,0,0,0,0,0,51,,11.5,Georgia,2016
1,10,NYG,Eli Apple,CB,21,2018,0,0,1,7,7,27,0,0,0,0,0,0,0,0,0,0,0,86,1,,Ohio St.,2016
1,11,TAM,Vernon Hargreaves,CB,21,2018,0,0,2,8,8,26,0,0,0,0,0,0,0,0,0,0,0,111,1,,Florida,2016
1,12,NOR,Sheldon Rankins,DT,22,2018,0,0,2,8,8,27,0,0,0,0,0,0,0,0,0,0,0,34,1,7,Louisville,2016
1,13,MIA,Laremy Tunsil,T,22,2018,0,0,3,12,12,31,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi,2016
1,14,OAK,Karl Joseph,S,22,2018,0,0,2,9,9,29,0,0,0,0,0,0,0,0,0,0,0,101,2,1,West Virginia,2016
1,15,CLE,Corey Coleman,WR,22,2018,0,0,2,5,5,19,0,0,0,0,0,2,10,0,56,718,5,,,,Baylor,2016
1,16,DET,Taylor Decker,T,23,2018,0,0,3,14,14,26,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,2016
1,17,ATL,Keanu Neal,S,21,2018,0,1,3,12,12,31,0,0,0,0,0,0,0,0,0,0,0,154,1,,Florida,2016
1,18,IND,Ryan Kelly,C,23,2018,0,0,2,12,12,25,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,2016
1,19,BUF,Shaq Lawson,DE,22,2018,0,0,2,5,5,22,0,0,0,0,0,0,0,0,0,0,0,25,,6,Clemson,2016
1,20,NYJ,Darron Lee,OLB,21,2018,0,0,3,12,12,30,0,0,0,0,0,0,0,0,0,0,0,116,2,4,Ohio St.,2016
1,21,HOU,Will Fuller,WR,22,2018,0,0,3,9,9,25,0,0,0,0,0,3,6,0,83,1171,10,,,,Notre Dame,2016
1,22,WAS,Josh Doctson,WR,23,2018,0,0,2,5,5,20,0,0,0,0,0,1,-14,0,42,616,6,,,,TCU,2016
