 Rnk, Player Name, School, Conf, Games Played, Cmp (passing), Att (passing),  Percent (passing),  Yards (passing),  Avg Yards (passing),AY/A (passing),TD (passing), Interceptins (passing), Rate (passing), Att (rushing), Yds (rushing), Avg Yards (rushing), TD (rushing), Year
1,Bob Newman,Washington State,PCC,10,91,170,53.5,1240,7.3,6.1,8,8,120.9,43,-63,-1.5,1,1956
2,John Brodie,Stanford,PCC,10,139,240,57.9,1633,6.8,5.2,12,14,119.9,55,9,0.2,null,1956
3,Bob Reinhart,San Jose State,Ind,10,90,172,52.3,1138,6.6,6.5,10,5,121.3,40,-70,-1.8,2,1956
4,Guy Martin,Colgate,Ind,9,88,170,51.8,1100,6.5,3.6,9,15,105.9,38,65,1.7,1,1956
5,Charlie Arnold,SMU,SWC,10,71,157,45.2,964,6.1,3.1,8,14,95.8,62,-82,-1.3,2,1956
6,Carroll Johnston,Brigham Young,Skyline,10,71,167,42.5,945,5.7,2.6,8,15,87.9,24,39,1.6,1,1956
7,Joe Clements,Texas,SWC,10,74,151,49.0,793,5.3,1.4,7,16,87.2,60,180,3.0,2,1956
1,Tom Greene,Holy Cross,Ind,9,74,159,46.5,1297,8.2,5.9,11,13,121.5,53,84,1.6,5,1957
2,Bob Newman,Washington State,PCC,10,104,188,55.3,1391,7.4,5.7,13,13,126.5,75,53,0.7,3,1957
3,Roger LaBrasca,Drake,Ind,8,74,145,51.0,1054,7.3,5.8,12,10,125.6,null,-40,null,1,1957
4,Tom Forrestal,Navy,Ind,11,93,183,50.8,1270,6.9,3.4,8,18,103.9,39,86,2.2,2,1957
5,Bob Winters,Utah State,Skyline,10,92,179,51.4,1139,6.4,4.9,7,9,107.7,61,-7,-0.1,1,1957
6,Ken Ford,Hardin-Simmons,BIAA,10,115,205,56.1,1254,6.1,5.1,14,11,119.3,23,3,0.1,4,1957
7,Tom Flores,Pacific,Ind,10,82,184,44.6,980,5.3,3.3,4,10,85.6,35,15,0.4,3,1957
8,Ray Harding,Colgate,Ind,9,64,152,42.1,762,5.0,2.1,7,13,82.3,37,-60,-1.6,0,1957
1,Randy Duncan,Iowa,Big Ten,10,106,179,59.2,1397,7.8,6.9,12,9,136.8,39,65,1.7,5,1958
2,Tom Greene,Holy Cross,Ind,9,59,137,43.1,976,7.1,3.4,4,13,93.6,67,-39,-0.6,2,1958
3,Frank Finney,Brown,Ivy,9,71,142,50.0,982,6.9,4.9,8,10,112.6,47,152,3.2,11,1958
4,Charles Milstead,Texas A&M,SWC,10,88,167,52.7,1135,6.8,4.7,5,10,107.7,112,197,1.8,null,1958
