+-----------------+--------------------+------------+-------------+-------------+------------------+------------+---------------+---------------+------------------+--------------+-----------------+---------------+------------------+--------------+----+
|           Player|              School|Games Played|Att (rushing)|Yds (rushing)|     Avg (rushing)|TD (rushing)|Rec (receiving)|Yds (receiving)|   Avg (receiving)|TD (receiving)|Plays (scrimmage)|Yds (scrimmage)|   Avg (scrimmage)|TD (scrimmage)|Year|
+-----------------+--------------------+------------+-------------+-------------+------------------+------------+---------------+---------------+------------------+--------------+-----------------+---------------+------------------+--------------+----+
|    Ja'Mar Toombs|           Texas A&M|        35.0|        350.0|       1360.0|3.8857142857142857|        26.0|           25.0|          278.0|             11.12|           1.0|            375.0|         1638.0|             4.368|          27.0|2000|
|      John Mosley|               Tulsa|        11.0|        160.0|        873.0|           5.45625|         5.0|            7.0|           38.0| 5.428571428571429|           0.0|            167.0|          911.0| 5.455089820359281|           5.0|1999|
|    Brandon Payne|               Akron|        39.0|        626.0|       2861.0|4.5702875399361025|        39.0|           87.0|          780.0|  8.96551724137931|           3.0|            713.0|         3641.0| 5.106591865357644|          42.0|2002|
|  Quentin Griffin|            Oklahoma|        39.0|        669.0|       3511.0|  5.24813153961136|        41.0|          141.0|         1133.0| 8.035460992907801|           5.0|            810.0|         4644.0| 5.733333333333333|          46.0|2002|
|        Mike Bass|              Hawaii|        12.0|        108.0|        558.0| 5.166666666666667|         3.0|           29.0|          220.0| 7.586206896551724|           1.0|            137.0|          778.0| 5.678832116788321|           4.0|2001|
|   Trinity Dawson|              Toledo|        47.0|        674.0|       3474.0| 5.154302670623146|        30.0|           69.0|          515.0| 7.463768115942029|           6.0|            743.0|         3989.0| 5.368775235531628|          36.0|2005|
|    Cedric Dargan|                Duke|         7.0|        125.0|        462.0|             3.696|         1.0|            9.0|           48.0| 5.333333333333333|           0.0|            134.0|          510.0|3.8059701492537314|           1.0|2004|
|       Mark Bonds|    Western Michigan|        32.0|        510.0|       2228.0| 4.368627450980392|        18.0|           40.0|          229.0|             5.725|           0.0|            550.0|         2457.0| 4.467272727272727|          18.0|2007|
|      Jason Evans|            Stanford|        10.0|         72.0|        248.0|3.4444444444444446|         1.0|           18.0|          135.0|               7.5|           0.0|             90.0|          383.0|4.2555555555555555|           1.0|2005|
|        J.J. Bass|          Iowa State|         9.0|        123.0|        462.0|3.7560975609756095|         4.0|            9.0|           48.0| 5.333333333333333|           0.0|            132.0|          510.0|3.8636363636363638|           4.0|2007|
|  Clifford Harris|                Duke|        10.0|         98.0|        345.0| 3.520408163265306|         3.0|           14.0|          127.0| 9.071428571428571|           3.0|            112.0|          472.0| 4.214285714285714|           6.0|2008|
|    Darriet Perry|Florida Internati...|        36.0|        404.0|       1636.0|4.0495049504950495|        25.0|           40.0|          363.0|             9.075|           0.0|            444.0|         1999.0| 4.502252252252252|          25.0|2011|
|   Elijah McGuire|           Louisiana|        51.0|        710.0|       4301.0|  6.05774647887324|        42.0|          130.0|         1394.0|10.723076923076922|          10.0|            840.0|         5695.0| 6.779761904761905|          52.0|2016|
|Terrance Broadway|           Louisiana|        25.0|        277.0|       1095.0| 3.953068592057762|        11.0|            1.0|          -25.0|             -25.0|           0.0|            278.0|         1070.0|3.8489208633093526|          11.0|2014|
|    David Watford|            Virginia|        12.0|        104.0|        208.0|               2.0|         3.0|            1.0|           -4.0|              -4.0|           0.0|            105.0|          204.0|1.9428571428571428|           3.0|2013|
|     Andre Givens| Bowling Green State|        11.0|        101.0|        479.0| 4.742574257425742|         8.0|            3.0|            9.0|               3.0|           0.0|            104.0|          488.0|4.6923076923076925|           8.0|2014|
|      Ben Luckett|    Louisiana-Monroe|        24.0|        214.0|        959.0| 4.481308411214953|         7.0|           14.0|           88.0| 6.285714285714286|           0.0|            228.0|         1047.0| 4.592105263157895|           7.0|2016|
|     Darian Green|          Ball State|        12.0|        145.0|        730.0|5.0344827586206895|         5.0|           14.0|           84.0|               6.0|           1.0|            159.0|          814.0| 5.119496855345912|           6.0|2015|
|      Kani Benoit|              Oregon|        12.0|         88.0|        584.0| 6.636363636363637|        10.0|            8.0|           36.0|               4.5|           0.0|             96.0|          620.0| 6.458333333333333|          10.0|2017|
|     Jordan Ellis|            Virginia|        13.0|        215.0|        836.0|3.8883720930232557|         6.0|           22.0|          137.0|6.2272727272727275|           1.0|            237.0|          973.0| 4.105485232067511|           7.0|2017|
+-----------------+--------------------+------------+-------------+-------------+------------------+------------+---------------+---------------+------------------+--------------+-----------------+---------------+------------------+--------------+----+
